rangeBinIndexMax,rangeBinIndexPhase,maxVal,processingCyclesOut,rangeBinStartIndex,rangeBinEndIndex,unwrapPhasePeak_mm,outputFilterBreathOut,outputFilterHeartOut,heartRateEst_FFT,heartRateEst_FFT_4Hz,heartRateEst_xCorr,breathingRateEst_FFT,breathingRateEst_peakCount,heartRateEst_peakCount_filtered,confidenceMetricBreathOut,confidenceMetricHeartOut,confidenceMetricHeartOut_4Hz,sumEnergyBreathWfm,sumEnergyHeartWfm,confidenceMetricHeartOut_xCorr,reserved,reserved,reserved
0,17,2147418112.0,2188810,8,29,-30.124130249023438,0.005312606692314148,-0.0820457935333252,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,23.4375,9.966187477111816,11.2504243850708,0.3188033699989319,0.5094772577285767,2.5319061279296875,68.69951629638672,100.22773742675781,0.0
0,17,2147418112.0,2188441,8,29,-30.13658905029297,5.1140785217285156e-05,0.01546621322631836,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,23.4375,9.846171379089355,11.250298500061035,0.31880366802215576,0.509476900100708,2.5319061279296875,61.829566955566406,95.33594512939453,0.0
0,17,2147418112.0,2187512,8,29,-30.12285041809082,-0.004432007670402527,0.13946415483951569,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,23.4375,9.813897132873535,11.249765396118164,0.318803608417511,0.509477436542511,2.5319061279296875,55.6662483215332,100.29426574707031,0.0
0,17,2147418112.0,2186968,8,29,-30.088964462280273,-0.006882384419441223,0.2576274871826172,67.96875,101.953125,63.15789794921875,70.078125,18.75,19.047618865966797,23.4375,9.85242748260498,11.248929023742676,0.3194985091686249,0.5064283013343811,2.409423828125,50.14698791503906,128.46551513671875,0.0
0,17,2147418112.0,2200730,8,29,-30.07359504699707,-0.006453871726989746,0.3360897898674011,67.96875,101.953125,63.15789794921875,69.84375,18.75,19.047618865966797,23.4375,9.89242935180664,11.247894287109375,0.31949877738952637,0.5064290761947632,2.409423828125,45.17394256591797,178.52041625976562,0.0
0,17,2147418112.0,2186262,8,29,-30.080934524536133,-0.003051936626434326,0.35118138790130615,67.96875,101.953125,63.15789794921875,69.609375,18.75,19.047618865966797,23.4375,9.855805397033691,11.246614456176758,0.3194987177848816,0.5064290761947632,2.409423828125,40.66585922241211,231.2585906982422,0.0
0,17,2147418112.0,2186234,8,29,-30.070478439331055,0.0023087114095687866,0.2964593172073364,67.96875,101.953125,63.15789794921875,69.375,18.75,19.047618865966797,23.4375,9.877464294433594,11.24437141418457,0.3194987177848816,0.5064291954040527,2.409423828125,36.6046028137207,263.6397399902344,0.0
0,17,2147418112.0,2186344,8,29,-30.161161422729492,0.00865277647972107,0.18353736400604248,67.96875,101.953125,63.15789794921875,69.140625,18.75,19.047618865966797,23.4375,9.864603996276855,11.239968299865723,0.3194989264011383,0.5064286589622498,2.409423828125,33.019012451171875,267.30072021484375,0.0
0,17,1745004416.0,2186099,8,29,-30.094223022460938,0.014644145965576172,0.03770303726196289,67.96875,101.953125,63.15789794921875,68.90625,18.75,19.047618865966797,23.4375,9.887444496154785,11.231915473937988,0.3194989860057831,0.5064284801483154,2.409423828125,29.931562423706055,254.64645385742188,0.0
0,17,1995041536.0,2186323,8,29,-30.122060775756836,0.01988433301448822,-0.10950633883476257,67.96875,101.953125,63.15789794921875,68.671875,18.75,19.047618865966797,23.4375,9.938420295715332,11.218840599060059,0.3194989264011383,0.5064290761947632,2.409423828125,27.333791732788086,247.90992736816406,0.0
0,17,2147418112.0,2186057,8,29,-30.27281379699707,0.02575962245464325,-0.22793427109718323,67.96875,101.953125,63.15789794921875,68.4375,18.75,19.047618865966797,23.4375,9.904451370239258,11.200191497802734,0.3194988965988159,0.5064277052879333,2.409423828125,25.26396942138672,261.491455078125,0.0
